ano,uf,ugrhi,municipio,codigo_ibge,populacao_urbana,atendimento_coleta_porc,atendimento_tratamento_porc,eficiencia,carga_poluidora_potencial,carga_poluidora_remancescente,ictem
2022,SP,5,Amparo,3501905,57569,95,53,79,3109,1872,5.319999999999999
2022,SP,5,Analândia,3502002,4061,96,100,57,219,99,7
2022,SP,5,Artur Nogueira,3503802,50926,98,33,94.1,2750,1913,4.1499999999999995
2022,SP,5,Atibaia,3504107,132317,67.8,100,92.1,7145,2684,7.08
2022,SP,5,Bom Jesus dos Perdões,3507100,23370,20,100,85.6,1262,1046,3.11
2022,SP,5,Bragança Paulista,3507605,167074,89.6,100,99,9022,1019,9.84
2022,SP,5,Campinas,3509502,1202203,96.3,99.8,87.5,64919,10315,9.639999999999999
2022,SP,5,Campo Limpo Paulista,3509601,86407,60.2,95,97.7,4666,2059,6.159999999999999
2022,SP,5,Capivari,3510401,53839,95,12.5,92.9,2907,2588,2.53
2022,SP,5,Charqueada,3511706,15912,86.9,98,78.9,859,282,7.64
2022,SP,5,Cordeirópolis,3512407,22559,100,70,96.7,1218,394,7.1499999999999995
2022,SP,5,Corumbataí,3512704,2200,100,100,80,119,24,9.8
2022,SP,5,Cosmópolis,3512803,69340,98,0,0,3744,3744,1.47
2022,SP,5,Elias Fausto,3514908,14405,94.6,100,90.1,778,115,9.62
2022,SP,5,Holambra,3519055,11303,100,100,82,610,110,10
2022,SP,5,Hortolândia,3519071,237570,95.2,100,87,12829,2203,9.93
2022,SP,5,Indaiatuba,3520509,258069,97.7,100,93.6,13936,1192,9.67
2022,SP,5,Ipeúna,3521101,6734,90.5,100,93,364,58,9.56
2022,SP,5,Iracemápolis,3521408,24467,100,0,0,1321,1321,1.7
2022,SP,5,Itatiba,3523404,104900,89.7,100,74,5665,1905,7.659999999999999
2022,SP,5,Itupeva,3524006,55863,74.2,100,75.1,3017,1336,6.430000000000001
2022,SP,5,Jaguariúna,3524709,58193,98,92.9,91.8,3142,516,9.860000000000001
2022,SP,5,Jarinu,3525201,24091,29.7,100,93.8,1301,938,4.26
2022,SP,5,Joanópolis,3525508,13453,65.2,100,93,726,286,6.92
2022,SP,5,Jundiaí,3525904,408569,99.5,100,95.6,22063,1076,9.69
2022,SP,5,Limeira,3526902,301509,100,100,98.7,16281,212,10
2022,SP,5,Louveira,3527306,49042,86.6,100,86.3,2648,668,7.859999999999999
2022,SP,5,Mombuca,3530904,2896,100,100,91,156,14,10
2022,SP,5,Monte Alegre do Sul,3531209,4680,95,0,0,253,253,1.43
2022,SP,5,Monte Mor,3531803,57962,90.7,100,96.1,3130,402,9.56
2022,SP,5,Morungaba,3532009,11902,89.9,100,87,643,140,8.43
2022,SP,5,Nazaré Paulista,3532405,15989,12.8,100,92,863,762,2.96
2022,SP,5,Nova Odessa,3533403,60710,96.2,100,90.8,3278,415,9.94
2022,SP,5,Paulínia,3536505,114402,94.9,100,81.6,6178,1394,8.450000000000001
2022,SP,5,Pedra Bela,3536802,1526,70.6,0,0,82,82,1.06
2022,SP,5,Pedreira,3537107,48581,99,92,99,2623,258,9.870000000000001
2022,SP,5,Pinhalzinho,3538204,7666,96,98,86.3,414,78,9.91
2022,SP,5,Piracaia,3538600,27617,52.9,98,70,1491,950,5.119999999999999
2022,SP,5,Piracicaba,3538709,401466,100,100,90.9,21679,1973,9.7
2022,SP,5,Rafard,3542107,8044,100,9.9,84,434,398,2.19
2022,SP,5,Rio Claro,3543907,204448,99.8,100,89.2,11040,1212,9.7
2022,SP,5,Rio das Pedras,3544004,35080,99,0,0,1894,1894,1.49
2022,SP,5,Saltinho,3545159,7092,100,100,97,383,11,9.7
2022,SP,5,Salto,3545209,119930,98,98,41,6476,3926,6
2022,SP,5,Santa Bárbara d'Oeste,3545803,193745,99,100,94.8,10462,643,9.99
2022,SP,5,Santa Gertrudes,3546702,27554,100,100,84.2,1488,235,10
2022,SP,5,Santa Maria da Serra,3547007,5552,100,100,87,300,39,10
2022,SP,5,Santo Antônio de Posse,3548005,21654,100,100,64.2,1169,419,7.17
2022,SP,5,São Pedro,3550407,30503,90,79,79,1647,722,6.39
2022,SP,5,Sumaré,3552403,286462,95,30,91.6,15469,11431,4.08
2022,SP,5,Tuiuti,3554953,3534,50,0,0,191,191,0.75
2022,SP,5,Valinhos,3556206,126726,94.3,100,77.9,6843,1840,7.85
2022,SP,5,Vargem,3556354,5446,46.4,95,99.1,294,166,5.470000000000001
2022,SP,5,Várzea Paulista,3556503,124269,84.2,100,97.7,6711,1190,9.46
2022,SP,5,Vinhedo,3556701,78954,91.5,99.8,85.4,4264,939,8.44
2022,SP,6,Arujá,3503901,88764,71.5,100,75,4793,2223,6.56
2022,SP,6,Barueri,3505708,279704,83.5,61,86.7,15104,8434,5.54
2022,SP,6,Biritiba-Mirim,3506607,28550,53.1,100,84,1542,854,5.4
2022,SP,6,Caieiras,3509007,101467,74,15,95,5479,4901,2.53
2022,SP,6,Cajamar,3509205,77443,74.4,0,0,4182,4182,1.12
2022,SP,6,Carapicuíba,3510609,405375,69.8,57,86.7,21890,14339,4.6499999999999995
2022,SP,6,Cotia,3513009,257882,54,47,84,13926,10957,3.4099999999999997
2022,SP,6,Diadema,3513801,429550,97.5,59,86.4,23196,11667,6.08
2022,SP,6,Embu das Artes,3515004,279264,72.3,25,86.7,15080,12717,2.68
2022,SP,6,Embu-Guaçu,3515103,68524,40.5,99,84.3,3700,2450,4.8
2022,SP,6,Ferraz de Vasconcelos,3515707,189747,82.7,51,98.1,10246,6007,5.2
2022,SP,6,Francisco Morato,3516309,179007,58.2,0,0,9666,9666,0.8700000000000001
2022,SP,6,Franco da Rocha,3516408,145966,74,0,0,7882,7882,1.11
2022,SP,6,Guarulhos,3518800,1404694,86.4,15,92,75853,66809,2.8099999999999996
2022,SP,6,Itapecerica da Serra,3522208,178086,52,95,86.7,9617,5498,5.49
2022,SP,6,Itapevi,3522505,244131,64.5,59,86.7,13183,8833,4.5
2022,SP,6,Itaquaquecetuba,3523107,379082,63,18,93.2,20470,18307,2.11
2022,SP,6,Jandira,3525003,127734,74.1,49,86.7,6898,4726,4.4
2022,SP,6,Mairiporã,3528502,90579,25.8,75,86,4891,4077,3.1
2022,SP,6,Mauá,3529401,481725,93,93,94.8,26013,4684,9.8
2022,SP,6,Mogi das Cruzes,3530607,419794,60.7,100,98.1,22669,9170,6.78
2022,SP,6,Osasco,3534401,701428,77.8,57,86.7,37877,23314,5.03
2022,SP,6,Pirapora do Bom Jesus,3539103,19453,51,26,96,1050,917,2.29
2022,SP,6,Poá,3539806,117337,96.8,87,98.1,6336,1101,9.76
2022,SP,6,Ribeirão Pires,3543303,125238,71.2,70,95.5,6763,3544,5.71
2022,SP,6,Rio Grande da Serra,3544103,52009,50.2,82,94.8,2808,1713,5.02
2022,SP,6,Salesópolis,3545001,11054,77.3,99,79.1,597,236,7.08
2022,SP,6,Santana de Parnaíba,3547304,145073,46.9,45,85.5,7834,6420,3.05
2022,SP,6,Santo André,3547809,723889,99.5,45.9,86.4,39090,23675,5.24
2022,SP,6,São Bernardo do Campo,3548708,835657,92.3,31,85.6,45125,34073,3.94
2022,SP,6,São Caetano do Sul,3548807,162763,100,100,86.4,8789,1195,10
2022,SP,6,São Paulo,3550308,12284940,89.5,81,89.9,663387,231038,7.3
2022,SP,6,Suzano,3552502,292717,94.5,72,98.1,15807,5256,7.34
2022,SP,6,Taboão da Serra,3552809,297528,89.5,80,86.7,16067,6093,7.08
2022,SP,7,Bertioga,3506359,65074,66,100,83.6,3514,1585,6.55
2022,SP,7,Cubatão,3513504,132521,51.3,100,92.4,7156,3764,5.85
2022,SP,7,Guarujá,3518701,324914,69.4,NA,NA,17545,NA,4.37
2022,SP,7,Itanhaém,3522109,103374,49.3,100,73.2,5582,3568,5.09
2022,SP,7,Mongaguá,3531100,58311,82.9,90,56.1,3149,1831,5.81
2022,SP,7,Peruíbe,3537602,68918,81.2,100,62,3722,1848,6.49
2022,SP,7,Praia Grande,3541000,336454,80,NA,NA,18169,NA,3.7
2022,SP,7,Santos,3548500,433666,96.6,NA,NA,23418,NA,3.4
2022,SP,7,São Vicente,3551009,370138,79.4,NA,NA,19987,NA,3.84
2022,SP,8,Aramina,3503000,5318,100,100,70,287,86,8.05
2022,SP,8,Batatais,3505906,56102,99,100,86.7,3030,429,9.99
2022,SP,8,Buritizal,3508207,3709,99.7,100,86.1,200,28,10
2022,SP,8,Cristais Paulista,3513207,6413,97,100,85.7,346,58,9.96
2022,SP,8,Franca,3516200,352245,100,100,95.3,19021,894,10
2022,SP,8,Guaíra,3517406,39799,100,100,20.2,2149,1715,4.51
2022,SP,8,Guará,3517703,20710,100,100,97,1118,34,10
2022,SP,8,Igarapava,3520103,29040,96.9,100,89,1568,216,9.950000000000001
2022,SP,8,Ipuã,3521309,16098,100,100,81.2,869,163,10
2022,SP,8,Itirapuã,3523701,5490,98.8,100,90.7,296,31,9.98
2022,SP,8,Ituverava,3524105,39785,100,100,83.7,2148,350,10
2022,SP,8,Jeriquara,3525409,2592,100,100,78.1,140,31,8.58
2022,SP,8,Miguelópolis,3529708,21176,87.5,100,88,1144,263,8.32
2022,SP,8,Nuporanga,3533601,6825,100,100,90,369,37,10
2022,SP,8,Patrocínio Paulista,3536307,12067,100,100,83.6,652,107,10
2022,SP,8,Pedregulho,3537008,12451,100,100,80.7,672,130,10
2022,SP,8,Restinga,3542701,6103,100,100,71.1,330,95,8.12
2022,SP,8,Ribeirão Corrente,3543105,3805,87.1,100,85.1,205,53,8.129999999999999
2022,SP,8,Rifaina,3543600,3196,97.8,100,88,173,24,9.97
2022,SP,8,Santo Antônio da Alegria,3547908,5202,98.3,100,77.8,281,66,7.94
2022,SP,8,São Joaquim da Barra,3549409,51791,100,100,87,2797,364,10
2022,SP,8,São José da Bela Vista,3549508,8006,95.9,100,80,432,101,8.42
2022,SP,9,Aguaí,3500303,33361,98.1,50,89.4,1801,1012,5.57
2022,SP,9,Águas da Prata,3500402,7376,98.8,100,92,398,36,9.98
2022,SP,9,Águas de Lindóia,3500501,18738,99,56.4,87.4,1012,518,6.01
2022,SP,9,Américo Brasiliense,3501707,41231,100,0,0,2226,2226,1.5
2022,SP,9,Araras,3503307,129376,100,100,19.9,6986,5596,4.49
2022,SP,9,Barrinha,3505609,33165,100,0,0,1791,1791,1.5
2022,SP,9,Conchal,3512209,26921,97,97,80,1454,359,8.31
